Date_Time,Turbidity (NTU),SSC (mg/L),Sample SSC
4/20/2023 19:29,9.765636,8.765451812,
4/20/2023 19:44,8.031711,7.002050087,
4/20/2023 19:59,9.48889,8.48400113,
4/20/2023 20:14,11.49526,10.52447942,
4/20/2023 20:29,13.57149,12.63600533,
4/20/2023 20:44,11.60927,10.64042759,
4/20/2023 20:59,8.326635,7.301987795,
4/20/2023 21:14,9.244319,8.235272423,
4/20/2023 21:29,13.03298,12.08834066,
4/20/2023 21:44,11.09029,10.11262493,
4/20/2023 21:59,9.469188,8.463964196,
4/20/2023 22:14,8.138268,7.110418556,
4/20/2023 22:29,11.15217,10.17555689,
4/20/2023 22:44,9.633142,8.630705414,
4/20/2023 22:59,9.5272174,8.522980096,
4/20/2023 23:14,9.925587,8.928121979,
4/20/2023 23:29,14.17064,13.24534088,4.67
4/20/2023 23:44,9.449998,8.444447966,
4/20/2023 23:59,9.933173,8.935836941,
4/21/2023 0:14,8.505061,7.483447037,
4/21/2023 0:29,8.421017,7.397974289,
4/21/2023 0:44,8.263618,7.237899506,
4/21/2023 0:59,11.85403,10.88934851,
4/21/2023 1:14,8.333714,7.309187138,
4/21/2023 1:29,8.181873,7.154764841,
4/21/2023 1:44,8.8883928,7.873295478,
4/21/2023 1:59,8.37754334,7.353761577,
4/21/2023 2:14,7.793505,6.759794585,
4/21/2023 2:29,9.683845,8.682270365,
4/21/2023 2:44,10.15499,9.16142483,
4/21/2023 2:59,10.76337,9.78014729,
4/21/2023 3:14,11.61666,10.64794322,
4/21/2023 3:29,14.13397,13.20804749,
4/21/2023 3:44,8.810134,7.793706278,
4/21/2023 3:59,8.210626,7.184006642,
4/21/2023 4:14,7.658206,6.622195502,
4/21/2023 4:29,7.927142,6.895703414,
4/21/2023 4:44,8.430359,7.407475103,
4/21/2023 4:59,8.09129,7.06264193,
4/21/2023 5:14,12.03306,11.07142202,
4/21/2023 5:29,8.372559,7.348692503,
4/21/2023 5:44,9.225978,8.216619626,
4/21/2023 5:59,7.462435,6.423096395,
4/21/2023 6:14,7.172431,6.128162327,
4/21/2023 6:29,9.739391,8.738760647,
4/21/2023 6:44,10.53329,9.54615593,
4/21/2023 6:59,9.517488,8.513085296,
4/21/2023 7:14,8.381696,7.357984832,
4/21/2023 7:29,9.7278473,8.727020704,
4/21/2023 7:44,14.15087,13.22523479,
4/21/2023 7:59,9.392239,8.385707063,
4/21/2023 8:14,9.418756,8.412674852,
4/21/2023 8:29,11.96921,11.00648657,
4/21/2023 8:44,8.060939,7.031774963,
4/21/2023 8:59,8.436213,7.413428621,
4/21/2023 9:14,8.828076,7.811953292,
4/21/2023 9:29,7.885979,6.853840643,5.33
4/21/2023 9:44,8.526469,7.505218973,
4/21/2023 9:59,8.485124,7.463171108,
4/21/2023 10:14,8.3712367,7.347347724,
4/21/2023 10:29,10.21869,9.22620773,
4/21/2023 10:44,8.959034,7.945137578,
4/21/2023 10:59,8.734291,7.716573947,
4/21/2023 11:14,8.742898,7.725327266,
4/21/2023 11:29,9.457735,8.452316495,
4/21/2023 11:44,7.409592,6.369355064,
4/21/2023 11:59,9.909884,8.912152028,
4/21/2023 12:14,8.652264,7.633152488,
4/21/2023 12:29,9.401575,8.395201775,
4/21/2023 12:44,7.901646,6.869773982,
4/21/2023 12:59,9.444654,8.439013118,
4/21/2023 13:14,7.989983,6.959612711,
4/21/2023 13:29,9.345096,8.337762632,
4/21/2023 13:44,7.488872,6.449982824,
4/21/2023 13:59,10.57808,9.59170736,
4/21/2023 14:14,9.118625,8.107441625,
4/21/2023 14:29,9.073471,8.061520007,6
4/21/2023 14:44,12.32141,11.36467397,
4/21/2023 14:59,12.1642317,11.20482364,
4/21/2023 15:14,13.89808,12.96814736,
4/21/2023 15:29,9.065085,8.052991445,
4/21/2023 15:44,11.77242494,10.80635616,
4/21/2023 15:59,12.07926,11.11840742,
4/21/2023 16:14,9.850156,8.851408652,
4/21/2023 16:29,11.25193,10.27701281,
4/21/2023 16:44,8.453092,7.430594564,
4/21/2023 16:59,9.203582,8.193842894,
4/21/2023 17:14,12.40122,11.44584074,
4/21/2023 17:29,11.15097,10.17433649,
4/21/2023 17:44,8.462358,7.440018086,
4/21/2023 17:59,8.913583,7.898913911,
4/21/2023 18:14,7.443434,6.403772378,
4/21/2023 18:29,9.026313,8.013560321,
4/21/2023 18:44,11.12215,10.14502655,
4/21/2023 18:59,12.40393,11.44859681,
4/21/2023 19:14,13.48173,12.54471941,
4/21/2023 19:29,11.91035,10.94662595,17.86
4/21/2023 19:44,9.337187,8.329719179,
4/21/2023 19:59,8.232473,7.206225041,
4/21/2023 20:14,9.032546,8.019899282,
4/21/2023 20:29,10.46238,9.47404046,
4/21/2023 20:44,8.482746,7.460752682,
4/21/2023 20:59,11.42352,10.45151984,
4/21/2023 21:14,8.375389,7.351570613,
4/21/2023 21:29,7.016702,5.969785934,
4/21/2023 21:44,8.207192,7.180514264,
4/21/2023 21:59,8.460167,7.437789839,
4/21/2023 22:14,8.629294,7.609791998,
4/21/2023 22:29,8.143939,7.116185963,
4/21/2023 22:44,7.237703,6.194543951,
4/21/2023 22:59,9.137219,8.126351723,
4/21/2023 23:14,7.811295,6.777887015,
4/21/2023 23:29,9.374622,8.367790574,
4/21/2023 23:44,8.452457,7.429948769,
4/21/2023 23:59,7.074364,6.028428188,
4/22/2023 0:14,8.760818,7.743551906,
4/22/2023 0:29,10.56106,9.57439802,4
4/22/2023 0:44,7.258745,6.215943665,
4/22/2023 0:59,7.530726,6.492548342,
4/22/2023 1:14,6.651946,5.598829082,
4/22/2023 1:29,9.837541,8.838579197,
4/22/2023 1:44,6.396997,5.339545949,
4/22/2023 1:59,7.679562,6.643914554,
4/22/2023 2:14,9.082696,8.070901832,
4/22/2023 2:29,8.1937,7.1667929,
4/22/2023 2:44,6.416412,5.359291004,
4/22/2023 2:59,8.558845,7.538145365,
4/22/2023 3:14,7.401169,6.360788873,
4/22/2023 3:29,9.365844,8.358863348,
4/22/2023 3:44,8.327484,7.302851228,
4/22/2023 3:59,9.303319,8.295275423,
4/22/2023 4:14,10.57619,9.58978523,
4/22/2023 4:29,8.433867,7.411042739,
4/22/2023 4:44,8.360759,7.336691903,
4/22/2023 4:59,8.088403,7.059705851,
4/22/2023 5:14,7.360827,6.319761059,
4/22/2023 5:29,7.911787,6.880087379,6.67
4/22/2023 5:44,7.460176,6.420798992,
4/22/2023 5:59,8.004535,6.974412095,
4/22/2023 6:14,8.211545,7.184941265,
4/22/2023 6:29,6.351486,5.293261262,
4/22/2023 6:44,6.735907,5.684217419,
4/22/2023 6:59,7.590009,6.552839153,
4/22/2023 7:14,9.834915,8.835908555,
4/22/2023 7:29,10.03454,9.03892718,
4/22/2023 7:44,7.054562,6.008289554,
4/22/2023 7:59,9.427917,8.421991589,
4/22/2023 8:14,6.357931,5.299815827,
4/22/2023 8:29,6.758419,5.707112123,
4/22/2023 8:44,7.951716,6.920695172,
4/22/2023 8:59,13.14255,12.19977335,
4/22/2023 9:14,11.77443,10.80839531,
4/22/2023 9:29,8.003836,6.973701212,
4/22/2023 9:44,7.890913,6.858858521,
4/22/2023 9:59,7.911051,6.879338867,
4/22/2023 10:14,8.281878,7.256469926,
4/22/2023 10:29,6.503201,5.447555417,5.52
4/22/2023 10:44,8.141836,7.114047212,
4/22/2023 10:59,6.565741,5.511158597,
4/22/2023 11:14,8.953534,7.939544078,
4/22/2023 11:29,8.812276,7.795884692,
4/22/2023 11:44,8.072993,7.044033881,
4/22/2023 11:59,7.870339,6.837934763,
4/22/2023 12:14,8.5735731,7.553123843,
4/22/2023 12:29,9.345917,8.338597589,
4/22/2023 12:44,7.009171,5.962126907,
4/22/2023 12:59,10.10187,9.10740179,
4/22/2023 13:14,9.151258,8.140629386,
4/22/2023 13:29,7.985104,6.954650768,
4/22/2023 13:44,8.849007,7.833240119,
4/22/2023 13:59,8.334002,7.309480034,
4/22/2023 14:14,10.17371,9.18046307,
4/22/2023 14:29,8.616508,7.596788636,
4/22/2023 14:44,9.127635,8.116604795,
4/22/2023 14:59,8.305274,7.280263658,
4/22/2023 15:14,9.585393,8.582144681,
4/22/2023 15:29,9.826016,8.826858272,5.33
4/22/2023 15:44,11.12652,10.14947084,
4/22/2023 15:59,9.279103,8.270647751,
4/22/2023 16:14,11.43425,10.46243225,
4/22/2023 16:29,10.33719,9.34672223,
4/22/2023 16:44,8.559245,7.538552165,
4/22/2023 16:59,10.20384,9.21110528,
4/22/2023 17:14,9.580073,8.576734241,
4/22/2023 17:29,9.921028,8.923485476,
4/22/2023 17:44,11.45426,10.48278242,
4/22/2023 17:59,9.485228,8.480276876,
4/22/2023 18:14,8.183549,7.156469333,
4/22/2023 18:29,8.296978,7.271826626,
4/22/2023 18:44,8.465537,7.443251129,
4/22/2023 18:59,12.85906,11.91146402,
4/22/2023 19:14,13.25721,12.31638257,
4/22/2023 19:29,8.708308,7.690149236,
4/22/2023 19:44,8.798284,7.781654828,
4/22/2023 19:59,8.800211,7.783614587,
4/22/2023 20:14,7.555675,6.517921475,
4/22/2023 20:29,9.91405,8.91638885,8
4/22/2023 20:44,10.26051,9.26873867,
4/22/2023 20:59,9.081555,8.069741435,
4/22/2023 21:14,8.845473,7.829646041,
4/22/2023 21:29,10.17664,9.18344288,
4/22/2023 21:44,7.603176,6.566229992,
4/22/2023 21:59,6.615065,5.561321105,
4/22/2023 22:14,8.502469,7.480810973,
4/22/2023 22:29,6.817923,5.767627691,
4/22/2023 22:44,8.095217,7.066635689,
4/22/2023 22:59,9.429465,8.423565905,
4/22/2023 23:14,6.133169,5.071232873,
4/22/2023 23:29,7.103741,6.058304597,
4/22/2023 23:44,8.13432,7.10640344,
4/22/2023 23:59,10.9713,9.9916121,
4/23/2023 0:14,8.967427,7.953673259,
4/23/2023 0:29,8.518687,7.497304679,
4/23/2023 0:44,6.769693,5.718577781,
4/23/2023 0:59,9.262142,8.253398414,
4/23/2023 1:14,9.611702,8.608900934,7.33
4/23/2023 1:29,6.315001,5.256156017,
4/23/2023 1:44,7.549223,6.511359791,
4/23/2023 1:59,7.328658,6.287045186,
4/23/2023 2:14,8.169637,7.142320829,
4/23/2023 2:29,8.186734,7.159708478,
4/23/2023 2:44,7.96019,6.92931323,
4/23/2023 2:59,10.18962,9.19664354,
4/23/2023 3:14,7.43536,6.39556112,
4/23/2023 3:29,6.422993,5.365983881,
4/23/2023 3:44,7.636782,6.600407294,
4/23/2023 3:59,8.345429,7.321101293,
4/23/2023 4:14,7.239479,6.196350143,
4/23/2023 4:29,9.649465,8.647305905,
4/23/2023 4:44,9.835202,8.836200434,
4/23/2023 4:59,6.790901,5.740146317,
4/23/2023 5:14,8.269046,7.243419782,
4/23/2023 5:29,8.514811,7.493362787,
4/23/2023 5:44,8.16649,7.13912033,
4/23/2023 5:59,8.16221,7.13476757,
4/23/2023 6:14,7.925348,6.893878916,
4/23/2023 6:29,8.230294,7.204008998,
4/23/2023 6:44,12.29865,11.34152705,
4/23/2023 6:59,7.274145,6.231605465,
4/23/2023 7:14,6.941912,5.893724504,
4/23/2023 7:29,7.271286,6.228697862,
4/23/2023 7:44,10.60716,9.62128172,
4/23/2023 7:59,8.053034,7.023735578,
4/23/2023 8:14,6.458273,5.401863641,
4/23/2023 8:29,6.457277,5.400850709,
4/23/2023 8:44,7.596121,6.559055057,
4/23/2023 8:59,6.222099,5.161674683,
4/23/2023 9:14,7.549506,6.511647602,
4/23/2023 9:29,7.894341,6.862344797,
4/23/2023 9:44,8.12196,7.09383332,
4/23/2023 9:59,7.074602,6.028670234,
4/23/2023 10:14,10.64333,9.65806661,
4/23/2023 10:29,7.795053,6.761368901,
4/23/2023 10:44,6.444351,5.387704967,
4/23/2023 10:59,8.136459,7.108578803,
4/23/2023 11:14,8.276814,7.251319838,
4/23/2023 11:29,6.876299,5.826996083,
4/23/2023 11:44,8.184723,7.157663291,
4/23/2023 11:59,7.307646,6.265675982,
4/23/2023 12:14,8.691001,7.672548017,
4/23/2023 12:29,8.681043,7.662420731,
4/23/2023 12:44,9.1828722,8.172781027,
4/23/2023 12:59,10.85166,9.86993822,
4/23/2023 13:14,9.432228,8.426375876,
4/23/2023 13:29,10.46368214,9.475364736,
4/23/2023 13:44,9.443349,8.437685933,
4/23/2023 13:59,9.362202,8.355159434,
4/23/2023 14:14,12.38295,11.42726015,
4/23/2023 14:29,7.104529,6.059105993,
4/23/2023 14:44,9.737688,8.737028696,
4/23/2023 14:59,10.2437,9.2516429,
4/23/2023 15:14,8.335242,7.310741114,
4/23/2023 15:29,13.23037,12.28908629,
4/23/2023 15:44,11.89613,10.93216421,
4/23/2023 15:59,10.99081,10.01145377,11.25
4/23/2023 16:14,13.65569,12.72163673,
4/23/2023 16:29,9.074911,8.062984487,
4/23/2023 16:44,13.21157,12.26996669,
4/23/2023 16:59,13.14693,12.20422781,
4/23/2023 17:14,11.89542,10.93144214,
4/23/2023 17:29,9.821257,8.822018369,
4/23/2023 17:44,9.684222,8.682653774,
4/23/2023 17:59,11.50722,10.53664274,
4/23/2023 18:14,8.097101,7.068551717,
4/23/2023 18:29,10.50978,9.52224626,
4/23/2023 18:44,11.45493,10.48346381,
4/23/2023 18:59,10.04671,9.05130407,
4/23/2023 19:14,10.34922,9.35895674,
4/23/2023 19:29,9.164092,8.153681564,
4/23/2023 19:44,8.695061,7.676677037,
4/23/2023 19:59,8.651197,7.632067349,
4/23/2023 20:14,8.10263,7.07417471,
4/23/2023 20:29,6.780844,5.729918348,
4/23/2023 20:44,6.6710867,5.618295174,5.16
4/23/2023 20:59,8.254851,7.228983467,
4/23/2023 21:14,7.505007,6.466392119,
4/23/2023 21:29,7.50552,6.46691384,
