season,start,end
summer,2023-07-20 18:30:00,2023-07-20 19:00:00
summer,2023-07-20 20:15:00,2023-07-20 21:00:00
summer,2023-07-20 23:45:00,2023-07-21 00:00:00
summer,2023-07-21 04:30:00,2023-07-21 04:45:00
summer,2023-07-21 20:30:00,2023-07-21 20:45:00
summer,2023-07-21 21:30:00,2023-07-21 21:45:00
summer,2023-07-21 22:15:00,2023-07-21 22:30:00
summer,2023-07-22 04:30:00,2023-07-22 04:45:00
summer,2023-07-22 13:45:00,2023-07-22 14:00:00
summer,2023-07-22 16:15:00,2023-07-22 21:15:00
summer,2023-07-23 13:15:00,2023-07-23 13:30:00
summer,2023-07-24 12:45:00,2023-07-24 13:00:00
summer,2023-07-25 08:00:00,2023-07-25 08:30:00
summer,2023-07-25 10:00:00,2023-07-25 10:15:00
summer,2023-07-25 18:45:00,2023-07-25 20:15:00
summer,2023-07-25 22:00:00,2023-07-25 22:15:00
summer,2023-07-26 13:30:00,2023-07-26 13:45:00
summer,2023-07-26 14:15:00,2023-07-26 14:30:00
summer,2023-07-26 15:00:00,2023-07-26 15:15:00
summer,2023-07-26 16:30:00,2023-07-26 16:45:00
summer,2023-07-27 17:00:00,2023-07-27 18:15:00
summer,2023-07-27 18:30:00,2023-07-27 21:00:00
summer,2023-07-28 23:45:00,2023-07-29 00:50:00
summer,2023-07-29 07:30:00,2023-07-29 07:45:00
summer,2023-07-29 13:45:00,2023-07-29 22:15:00
summer,2023-08-03 17:15:00,2023-08-03 17:30:00
summer,2023-08-03 18:40:00,2023-08-03 19:00:00
summer,2023-08-08 06:45:00,2023-08-08 07:00:00
summer,2023-08-08 07:45:00,2023-08-08 08:00:00
summer,2023-08-08 14:30:00,2023-08-08 15:15:00
summer,2023-08-08 18:30:00,2023-08-08 18:45:00
summer,2023-08-08 19:00:00,2023-08-08 19:15:00
summer,2023-08-08 20:30:00,2023-08-08 21:45:00
summer,2023-08-08 23:00:00,2023-08-08 23:15:00
summer,2023-08-11 15:15:00,2023-08-11 15:30:00
summer,2023-08-11 16:25:00,2023-08-11 18:30:00
summer,2023-08-11 19:15:00,2023-08-11 19:30:00
summer,2023-08-11 20:30:00,2023-08-11 20:45:00
summer,2023-08-12 15:30:00,2023-08-12 15:45:00
summer,2023-08-13 18:45:00,2023-08-13 23:00:00
summer,2023-08-19 17:00:00,2023-08-19 17:30:00
summer,2023-08-20 20:00:00,2023-08-20 20:10:00
summer,2023-08-25 20:45:00,2023-08-25 21:00:00
summer,2023-08-28 12:15:00,2023-08-28 17:30:00
summer,2023-08-31 17:30:00,2023-08-31 18:00:00
summer,2023-09-10 20:00:00,2023-09-10 20:45:00
summer,2023-09-11 07:00:00,2023-09-11 07:15:00
summer,2023-09-14 14:45:00,2023-09-14 21:30:00
summer,2023-09-17 19:45:00,2023-09-17 20:00:00
