Date_Time,P2C,P3C,P4C,P6C
3/4/2022 0:30,2723.119,2724.138506,2733.034052,2737.303278
3/4/2022 0:45,2723.119,2724.138508,2733.034148,2737.303395
3/4/2022 1:00,2723.119,2724.138603,2733.034211,2737.303419
3/4/2022 1:15,2723.120,2724.138779,2733.034238,2737.303728
3/4/2022 1:30,2723.120,2724.138954,2733.034428,2737.30399
3/4/2022 1:45,2723.120,2724.139198,2733.034602,2737.304132
3/4/2022 2:00,2723.121,2724.139376,2733.034799,2737.304397
3/4/2022 2:15,2723.121,2724.13936,2733.034893,2737.304711
3/4/2022 2:30,2723.121,2724.1394,2733.035005,2737.304755
3/4/2022 2:45,2723.121,2724.139448,2733.034985,2737.30505
3/4/2022 3:00,2723.121,2724.139644,2733.035002,2737.305213
3/4/2022 3:15,2723.122,2724.139832,2733.035005,2737.305294
3/4/2022 3:30,2723.122,2724.139847,2733.034855,2737.30512
3/4/2022 3:45,2723.122,2724.139906,2733.034865,2737.305106
3/4/2022 4:00,2723.122,2724.139759,2733.034845,2737.304969
3/4/2022 4:15,2723.122,2724.139633,2733.034641,2737.304656
3/4/2022 4:30,2723.122,2724.139695,2733.03458,2737.304654
3/4/2022 4:45,2723.122,2724.139676,2733.034426,2737.304389
3/4/2022 5:00,2723.122,2724.139655,2733.034408,2737.304305
3/4/2022 5:15,2723.122,2724.139657,2733.034444,2737.304244
3/4/2022 5:30,2723.122,2724.139509,2733.034377,2737.304078
3/4/2022 5:45,2723.122,2724.139441,2733.034391,2737.30389
3/4/2022 6:00,2723.122,2724.139459,2733.034521,2737.303862
3/4/2022 6:15,2723.122,2724.139425,2733.034738,2737.303921
3/4/2022 6:30,2723.122,2724.139305,2733.034677,2737.3039
3/4/2022 6:45,2723.121,2724.139111,2733.034629,2737.303925
3/4/2022 7:00,2723.121,2724.138906,2733.034582,2737.303966
3/4/2022 7:15,2723.121,2724.138718,2733.034483,2737.303849
3/4/2022 7:30,2723.121,2724.138386,2733.03428,2737.303608
3/4/2022 7:45,2723.120,2724.138131,2733.033977,2737.303332
3/4/2022 8:00,2723.120,2724.137884,2733.033847,2737.303006
3/4/2022 8:15,2723.120,2724.137658,2733.033607,2737.302483
3/4/2022 8:30,2723.120,2724.137503,2733.033672,2737.301967
3/4/2022 8:45,2723.119,2724.13735,2733.033562,2737.301227
3/4/2022 9:00,2723.119,2724.137221,2733.033526,2737.300443
3/4/2022 9:15,2723.119,2724.13703,2733.033453,2737.299502
3/4/2022 9:30,2723.118,2724.136967,2733.033313,2737.298712
3/4/2022 9:45,2723.118,2724.137135,2733.033157,2737.297569
3/4/2022 10:00,2723.118,2724.137272,2733.032985,2737.296756
3/4/2022 10:15,2723.118,2724.137602,2733.0331,2737.295833
3/4/2022 10:30,2723.118,2724.137815,2733.033072,2737.295055
3/4/2022 10:45,2723.118,2724.137941,2733.032977,2737.294357
3/4/2022 11:00,2723.117,2724.138192,2733.033017,2737.293824
3/4/2022 11:15,2723.117,2724.138358,2733.032983,2737.293189
3/4/2022 11:30,2723.117,2724.138709,2733.03312,2737.292786
3/4/2022 11:45,2723.118,2724.138962,2733.033264,2737.29242
3/4/2022 12:00,2723.118,2724.139524,2733.033461,2737.292017
3/4/2022 12:15,2723.118,2724.140232,2733.033911,2737.292115
3/4/2022 12:30,2723.118,2724.141021,2733.034445,2737.292444
3/4/2022 12:45,2723.118,2724.141744,2733.034971,2737.292778
3/4/2022 13:00,2723.118,2724.142462,2733.035524,2737.293229
3/4/2022 13:15,2723.118,2724.143062,2733.03587,2737.293744
3/4/2022 13:30,2723.119,2724.143747,2733.036423,2737.294424
3/4/2022 13:45,2723.119,2724.144306,2733.036698,2737.294948
3/4/2022 14:00,2723.119,2724.144635,2733.036767,2737.295387
3/4/2022 14:15,2723.119,2724.145181,2733.037161,2737.295854
3/4/2022 14:30,2723.119,2724.145593,2733.037338,2737.29635
3/4/2022 14:45,2723.119,2724.145792,2733.037535,2737.296662
3/4/2022 15:00,2723.119,2724.146131,2733.037636,2737.297047
3/4/2022 15:15,2723.119,2724.146299,2733.037975,2737.297343
3/4/2022 15:30,2723.119,2724.146454,2733.038329,2737.297527
3/4/2022 15:45,2723.119,2724.146551,2733.03847,2737.297854
3/4/2022 16:00,2723.119,2724.146439,2733.038438,2737.298013
3/4/2022 16:15,2723.119,2724.146396,2733.03858,2737.298382
3/4/2022 16:30,2723.119,2724.146267,2733.038564,2737.298715
3/4/2022 16:45,2723.119,2724.146104,2733.03834,2737.299042
3/4/2022 17:00,2723.120,2724.146022,2733.03829,2737.299189
3/4/2022 17:15,2723.120,2724.145649,2733.038338,2737.299602
3/4/2022 17:30,2723.120,2724.145468,2733.038394,2737.299879
3/4/2022 17:45,2723.120,2724.145159,2733.038308,2737.300248
3/4/2022 18:00,2723.120,2724.144993,2733.038298,2737.300417
3/4/2022 18:15,2723.120,2724.144665,2733.038306,2737.300709
3/4/2022 18:30,2723.120,2724.144255,2733.038128,2737.300914
3/4/2022 18:45,2723.121,2724.143924,2733.038095,2737.301334
3/4/2022 19:00,2723.121,2724.143695,2733.038008,2737.301583
3/4/2022 19:15,2723.121,2724.143704,2733.038135,2737.302078
3/4/2022 19:30,2723.121,2724.143762,2733.0383,2737.302732
3/4/2022 19:45,2723.121,2724.143797,2733.038454,2737.303204
3/4/2022 20:00,2723.121,2724.143722,2733.038505,2737.303596
3/4/2022 20:15,2723.121,2724.143668,2733.038547,2737.303966
3/4/2022 20:30,2723.121,2724.143636,2733.038495,2737.304396
